Round 3: [13:58:41,13:58:46],[-112.95710826719234,7.718328611943491],-1,false
Round 4: [13:59:04,13:59:08],[-120.7600600516896,-0.08462317255377627],-1,false
Round 5: [13:59:26,13:59:36],[-120.77732991032833,-0.10189303119250326],-1,false
Round 6: [13:59:48,13:59:55],[-121.44681459017896,-0.7713777110431295],-1,false
Round 7: [14:00:10,14:00:18],[-120.084186070203,0.591250808932827],-1,false
Round 8: [14:00:30,14:00:41],[-118.84848447815494,1.8269524009808862],-1,false
Round 9: [14:01:02,14:01:08],[-123.47018243344303,-2.794745554307198],-1,false
12,Sirup,129.132.201.155,8g7k0stm4pldi,12:54:12,13:24:52
Round 0: [13:57:28,13:57:41],[-143.98527028157534,161.7014830814689],-1,false
Round 1: [13:57:56,13:58:03],[36.713869720755326,-17.599376916200455],-1,false
Round 2: [13:58:18,13:58:25],[47.951403669490155,-6.361842967465627],-1,false
Round 3: [13:58:40,13:58:48],[51.77217424851752,-2.541072388438259],-1,false
Round 4: [13:59:03,13:59:12],[53.72860067691941,-0.5846459600363687],-1,false
Round 5: [13:59:27,13:59:36],[55.69096592797223,1.3777192910164473],-1,false
Round 6: [13:59:48,14:00:03],[52.74817259418345,-1.5650740427723306],-1,false
Round 7: [14:00:09,14:00:17],[53.947198488542035,-0.36604814841374633],-1,false
Round 8: [14:00:29,14:00:39],[54.23163948697464,-0.0816071499811386],-1,false
Round 9: [14:01:03,14:01:18],[54.410093529919415,0.09684689296363302],-1,false
13,M.m,129.132.201.145,bc7g2918umcxr,12:54:12,13:24:09
Round 0: [13:57:27,13:57:30],[173.17210710124465,-157.09841714275686],-1,false
Round 1: [13:57:57,13:57:59],[-27.41726697227924,2.31220878371926],-1,false
Round 2: [13:58:17,13:58:33],[-27.41392645697756,2.3155492990209403],-1,false
Round 3: [13:58:39,13:58:53],[-26.94778706964841,2.7816886863500905],-1,false
Round 4: [13:59:05,13:59:12],[-28.21947783247933,1.509997923519169],-1,false
Round 5: [13:59:27,13:59:34],[-27.916476576097132,1.812999179901368],-1,false
Round 6: [13:59:49,13:59:59],[-30.519763386628515,-0.7902876306300151],-1,false
Round 7: [14:00:08,14:00:10],[-32.71719533373957,-2.9877195777410677],-1,false
Round 8: [14:00:31,14:00:34],[-31.491085290662628,-1.761609534664128],-1,false
Round 9: [14:01:01,14:01:12],[-33.068196508254026,-3.338720752255526],-1,false
14,Tschusi,129.132.201.154,7oed7xmvx6r,12:54:12,13:23:35
Round 0: [13:57:27,13:57:34],[-50.714698628971774,-86.3497816045298],-1,false
Round 1: [13:57:55,13:58:00],[-87.01904138930273,-122.65412436486073],-1,false
Round 2: [13:58:18,13:58:23],[-66.06753614457533,-101.70261912013333],-1,false
Round 3: [13:58:41,13:58:48],[-5.89571387029362,-41.53079684585163],-1,false
Round 4: [13:59:06,13:59:12],[-153.0524865371662,171.31243048727578],-1,false
Round 5: [13:59:27,13:59:31],[38.32605019039653,2.6909672148385155],-1,false
Round 6: [13:59:49,13:59:57],[59.35117968680652,23.716096711248504],-1,false
Round 7: [14:00:09,14:00:16],[55.256002855654785,19.62091988009677],-1,false
Round 8: [14:00:31,14:00:36],[90.65980299195493,55.02472001639692],-1,false
Round 9: [14:01:03,14:01:10],[101.01696912809557,65.38188615253756],-1,false
15,Elphaba,129.132.201.153,tpgk9d64unmi,12:54:12,13:23:25
Round 0: [13:57:29,13:57:33],[-90.66124661608282,111.84741060804785],-1,false
Round 1: [13:57:54,13:57:56],[176.74794695356326,19.25660417769393],-1,false
Round 2: [13:58:17,13:58:19],[-161.82709613069812,40.68156109343255],-1,false
Round 3: [13:58:40,13:58:43],[173.55244999232852,16.06110721645919],-1,false
Round 4: [13:59:04,13:59:06],[-173.84895620370554,28.659701020425132],-1,false
Round 5: [13:59:25,13:59:28],[-137.42673350441842,65.08192371971222],-1,false
Round 6: [13:59:49,13:59:55],[-155.1416507120946,47.367006512036085],-1,false
Round 7: [14:00:10,14:00:12],[-110.3646211447947,92.14403607933599],-1,false
Round 8: [14:00:30,14:00:34],[156.88768198955046,-0.6036607863188692],-1,false
Round 9: [14:01:01,14:01:04],[155.7989081843574,-1.692434591511926],-1,false
16,MS,129.132.201.159,3eu9ykfbt9,12:54:13,13:24:03
Round 0: [13:57:29,13:57:36],[-90.2918573093025,83.9336660716637],-1,false
Round 1: [13:57:54,13:58:00],[-38.38347381671805,135.84204956424816],-1,false
Round 2: [13:58:18,13:58:24],[-129.79803260984505,44.42749077112114],-1,false
Round 3: [13:58:39,13:58:44],[-112.71338293446566,61.51214044650054],-1,false
Round 4: [13:59:05,13:59:11],[144.61096245946743,-41.163514159566375],-1,false
Round 5: [13:59:26,13:59:32],[-83.0289659304438,91.19655745052239],-1,false
Round 6: [13:59:47,13:59:57],[-92.97569196468551,81.24983141628068],-1,false
Round 7: [14:00:09,14:00:15],[-104.5238838147839,69.7016395661823],-1,false
Round 8: [14:00:30,14:00:37],[-111.47882922491162,62.74669415605457],-1,false
Round 9: [14:01:01,14:01:09],[-114.45900647197605,59.76651690899014],-1,false
17,Xx,129.132.201.160,xyiohnsqyqfr,12:54:13,13:23:27
Round 0: [13:57:28,13:57:34],[170.48871378140527,115.04912160994174],-1,false
Round 1: [13:57:56,13:58:02],[40.73913338465787,-14.700458786805662],-1,false
Round 2: [13:58:17,13:58:24],[70.99663578811325,15.557043616649722],-1,false
Round 3: [13:58:39,13:58:54],[49.991134444938254,-5.448457726525277],-1,false
Round 4: [13:59:03,13:59:12],[43.964638387966815,-11.474953783496716],-1,false
Round 5: [13:59:27,13:59:33],[56.8974770002974,1.457884828833869],-1,false
Round 6: [13:59:48,13:59:52],[59.631559835207746,4.191967663744215],-1,false
Round 7: [14:00:10,14:00:14],[53.61068216923311,-1.8289100022304225],-1,false
Round 8: [14:00:29,14:00:35],[51.94279325165548,-3.4967989198080502],-1,false
Round 9: [14:01:02,14:01:08],[53.96410090038116,-1.4754912710823689],-1,false
18,Oli,129.132.201.158,hxk9xrrrizfr,12:54:13,13:23:45
Round 0: [13:57:27,13:57:45],[-174.85788092787317,146.58286158983623],-1,false
Round 1: [13:57:57,13:58:01],[91.95454306413119,53.39528558184057],-1,false
Round 2: [13:58:19,13:58:23],[-122.36497335105267,-160.9242308333433],-1,false
Round 3: [13:58:41,13:58:45],[-32.543050835316144,-71.10230831760677],-1,false
Round 4: [13:59:06,13:59:10],[164.16516475836698,125.60590727607637],-1,false
Round 5: [13:59:25,13:59:27],[-131.66762169791465,-170.2268791802053],-1,false
Round 6: [13:59:48,13:59:51],[-87.33685251797803,-125.89611000026865],-1,false
Round 7: [14:00:09,14:00:12],[90.71848266147113,52.15922517918051],-1,false
Round 8: [14:00:30,14:00:35],[110.0923666859322,71.53310920364159],-1,false
Round 9: [14:01:03,14:01:09],[102.94913283942743,64.38987535713682],-1,false
19,Sonic,129.132.201.142,p5u5363qsemi,12:54:14,13:23:55
Round 0: [13:57:28,13:57:32],[173.85008537054998,107.56254893858853],-1,false
Round 1: [13:57:57,13:58:03],[91.01995553843513,24.732419106473685],-1,false
Round 2: [13:58:18,13:58:22],[50.39135259025748,-15.896183841703959],-1,false
Round 3: [13:58:40,13:58:43],[0.24207991259037906,-66.04545651937106],-1,false
Round 4: [13:59:04,13:59:07],[89.35786360759671,23.07032717563527],-1,false
Round 5: [13:59:25,13:59:27],[117.10092209132755,50.813385659366105],-1,false
Round 6: [13:59:48,13:59:51],[138.74582523953185,72.45828880757041],-1,false
Round 7: [14:00:10,14:00:12],[-147.42370489976904,146.2887586682695],-1,false
Round 8: [14:00:30,14:00:34],[175.46826459247237,109.18072816051092],-1,false
Round 9: [14:01:01,14:01:04],[104.00699971083529,37.719463278873846],-1,false
