0,Cs,129.132.201.150,m0vb4v5yfzuxr,15:00:46,15:01:05
Round 2: [15:36:42,15:36:51],[-1.2188442977872467,13.77099654783956],-1,false
Round 3: [15:37:03,15:37:15],[23.087049719709782,38.07689056533659],-1,false
Round 4: [15:37:27,15:37:31],[-39.517282194217714,-24.527441348590905],-1,false
Round 5: [15:37:55,15:38:05],[-70.90057423733745,-55.91073339171064],-1,false
Round 6: [15:38:14,15:38:21],[-55.336660603327296,-40.34681975770049],-1,false
Round 7: [15:38:48,15:38:53],[-36.03618924458164,-21.046348398954834],-1,false
Round 8: [15:39:11,15:39:20],[-26.88547324294136,-11.895632397314552],-1,false
Round 9: [15:39:35,15:39:42],[-20.62595886677796,-5.6361180211511535],-1,false
19,Master,129.132.201.152,trshlcc6av2t9,15:00:47,15:00:59
Round 0: [15:35:37,15:35:39],[22.569676084262785,140.0628114668493],-1,false
Round 1: [15:36:09,15:36:14],[-153.7226712925513,-36.229535909964795],-1,false
Round 2: [15:36:41,15:36:46],[-122.02415664063794,-4.531021258051439],-1,false
Round 3: [15:37:04,15:37:09],[-106.87103515209945,10.62210023048705],-1,false
Round 4: [15:37:27,15:37:29],[-96.4929077170556,21.0002276655309],-1,false
Round 5: [15:37:56,15:38:01],[-106.82151549831356,10.671619884272943],-1,false
Round 6: [15:38:13,15:38:19],[-102.74374986303461,14.749385519551893],-1,false
Round 7: [15:38:46,15:38:53],[-113.1673358708488,4.325799511737699],-1,false
Round 8: [15:39:11,15:39:29],[-120.97664460341565,-3.4835092208291485],-1,false
Round 9: [15:39:35,15:39:49],[-111.04816190082266,6.444973481763839],-1,false
